ApplicantID,Year,Program,Branch,Quota,SeatType,KA_Flag,State,District,UrbanRural,Marks10,Marks12,MeritScore,ApplicationDate,Admitted,AdmitSeat
CE02883,2019,B.Tech,Artificial Intelligence and Machine Learning,Management,Self-Financed,1,Karnataka,Dharwad,Rural,88.27,100,96.83,2/19/2019,Yes,Artificial Intelligence and Machine Learning_MGMT_2019
CE02816,2019,B.Tech,Artificial Intelligence and Machine Learning,Government,Merit,1,Karnataka,Belagavi,Rural,82.25,89.93,96.15,1/4/2019,Yes,Artificial Intelligence and Machine Learning_GOVT_2019
CE03040,2019,B.Tech,Artificial Intelligence and Machine Learning,Government,Merit,1,Karnataka,Mysuru,Urban,84.09,97.89,95.46,1/10/2019,Yes,Artificial Intelligence and Machine Learning_GOVT_2019
CE03014,2019,B.Tech,Artificial Intelligence and Machine Learning,Government,Merit,0,Andhra Pradesh,Chennai,Urban,90.05,90.41,94.22,6/28/2019,Yes,Artificial Intelligence and Machine Learning_GOVT_2019
CE02954,2019,B.Tech,Artificial Intelligence and Machine Learning,Government,Merit,1,Karnataka,Shimoga,Rural,88.74,92.85,93.91,3/15/2019,Yes,Artificial Intelligence and Machine Learning_GOVT_2019
CE02778,2019,B.Tech,Artificial Intelligence and Machine Learning,Government,Merit,1,Karnataka,Mangalore,Urban,80.89,94.19,93.02,5/19/2019,Yes,Artificial Intelligence and Machine Learning_GOVT_2019
CE02851,2019,B.Tech,Artificial Intelligence and Machine Learning,Government,Merit,1,Karnataka,Mangalore,Urban,84.41,90.84,91.97,6/10/2019,Yes,Artificial Intelligence and Machine Learning_GOVT_2019
CE02906,2019,B.Tech,Artificial Intelligence and Machine Learning,Management,Self-Financed,1,Karnataka,Bengaluru Urban,Urban,96.31,84.03,91.51,1/28/2019,Yes,Artificial Intelligence and Machine Learning_MGMT_2019
CE03085,2019,B.Tech,Artificial Intelligence and Machine Learning,Government,Merit,1,Karnataka,Mysuru,Urban,75.23,95.14,91.34,6/8/2019,Yes,Artificial Intelligence and Machine Learning_GOVT_2019
CE03057,2019,B.Tech,Artificial Intelligence and Machine Learning,Government,Merit,1,Karnataka,Mysuru,Urban,86.44,87.88,90.8,6/10/2019,Yes,Artificial Intelligence and Machine Learning_GOVT_2019
CE02980,2019,B.Tech,Artificial Intelligence and Machine Learning,Government,Merit,1,Karnataka,Tumkur,Rural,91.28,90.26,90.79,3/8/2019,Yes,Artificial Intelligence and Machine Learning_GOVT_2019
CE02968,2019,B.Tech,Artificial Intelligence and Machine Learning,Government,Merit,1,Karnataka,Bengaluru Rural,Rural,77.09,95.88,90.65,3/6/2019,Yes,Artificial Intelligence and Machine Learning_GOVT_2019
CE02871,2019,B.Tech,Artificial Intelligence and Machine Learning,Government,Merit,1,Karnataka,Bengaluru Rural,Rural,78.49,100,90.64,6/28/2019,Yes,Artificial Intelligence and Machine Learning_GOVT_2019
CE02882,2019,B.Tech,Artificial Intelligence and Machine Learning,Government,Merit,1,Karnataka,Dharwad,Rural,89.33,84.45,90.22,2/1/2019,Yes,Artificial Intelligence and Machine Learning_GOVT_2019
CE02902,2019,B.Tech,Artificial Intelligence and Machine Learning,Management,Self-Financed,1,Karnataka,Tumkur,Rural,75.35,94.66,90.08,2/1/2019,Yes,Artificial Intelligence and Machine Learning_MGMT_2019
CE03011,2019,B.Tech,Artificial Intelligence and Machine Learning,Government,Merit,0,Andhra Pradesh,Hyderabad,Urban,89.51,81.65,89.84,1/16/2019,Yes,Artificial Intelligence and Machine Learning_GOVT_2019
CE03052,2019,B.Tech,Artificial Intelligence and Machine Learning,Government,Merit,1,Karnataka,Mangalore,Urban,80.73,95.85,89.82,6/22/2019,Yes,Artificial Intelligence and Machine Learning_GOVT_2019
CE02931,2019,B.Tech,Artificial Intelligence and Machine Learning,Management,Self-Financed,1,Karnataka,Tumkur,Rural,82.37,78.72,89.37,6/23/2019,Yes,Artificial Intelligence and Machine Learning_MGMT_2019
CE02790,2019,B.Tech,Artificial Intelligence and Machine Learning,Management,Self-Financed,1,Karnataka,Davanagere,Rural,92.49,89.46,89.34,1/15/2019,Yes,Artificial Intelligence and Machine Learning_MGMT_2019
CE02945,2019,B.Tech,Artificial Intelligence and Machine Learning,Management,Self-Financed,1,Karnataka,Dharwad,Rural,86.31,86.81,89.31,6/11/2019,Yes,Artificial Intelligence and Machine Learning_MGMT_2019
CE03087,2019,B.Tech,Artificial Intelligence and Machine Learning,Management,Self-Financed,1,Karnataka,Dharwad,Rural,93.64,81.94,89.19,2/3/2019,Yes,Artificial Intelligence and Machine Learning_MGMT_2019
CE02814,2019,B.Tech,Artificial Intelligence and Machine Learning,Government,Merit,1,Karnataka,Hubli-Dharwad,Rural,86.71,87.84,89.03,4/16/2019,Yes,Artificial Intelligence and Machine Learning_GOVT_2019
CE02890,2019,B.Tech,Artificial Intelligence and Machine Learning,Management,Self-Financed,1,Karnataka,Mysuru,Urban,80.6,90.84,88.9,6/22/2019,Yes,Artificial Intelligence and Machine Learning_MGMT_2019
CE03022,2019,B.Tech,Artificial Intelligence and Machine Learning,Government,Merit,1,Karnataka,Belagavi,Rural,91.25,81.39,88.9,6/4/2019,Yes,Artificial Intelligence and Machine Learning_GOVT_2019
CE03126,2019,B.Tech,Artificial Intelligence and Machine Learning,Government,Merit,1,Karnataka,Bengaluru Rural,Rural,78.87,87.71,88.61,3/14/2019,Yes,Artificial Intelligence and Machine Learning_GOVT_2019
CE02950,2019,B.Tech,Artificial Intelligence and Machine Learning,Management,Self-Financed,0,Kerala,Pune,Urban,83.75,88.25,88.6,3/11/2019,Yes,Artificial Intelligence and Machine Learning_MGMT_2019
CE02842,2019,B.Tech,Artificial Intelligence and Machine Learning,Government,Merit,1,Karnataka,Belagavi,Rural,89.42,90.9,88.57,5/13/2019,Yes,Artificial Intelligence and Machine Learning_GOVT_2019
CE03146,2019,B.Tech,Artificial Intelligence and Machine Learning,Government,Merit,1,Karnataka,Tumkur,Rural,88.26,87.57,88.51,5/6/2019,Yes,Artificial Intelligence and Machine Learning_GOVT_2019
